id_paper,id_data,species,order,body_part,morphology,environmental_condition,genetic.epigenetic_mechanism,genetic.epigenetic_mechanism_filtered,plasticity.or.adaptation,author,title,year,journal,volume,doi
43,de73,Eucriotettix oculatus,Orthoptera,wing,size,pollution,gene expression,transcriptomic,adaptation,Li; Xiao-Dong and Jiang; Guo-Fang and Li; Ran and Bai; Yi and Zhang; Guo-Song and Xu; Shu-Juan and Deng; Wei-An,Molecular strategies of the pygmy grasshopper Eucriotettix oculatus adapting to long-term heavy metal pollution,2024,Ecotoxicology and Environmental Safety,276,10.1016/j.ecoenv.2024.116301
43,de70,Eucriotettix oculatus,Orthoptera,body,shape,pollution,chromossome,chromossome,adaptation,Li; Xiao-Dong and Jiang; Guo-Fang and Li; Ran and Bai; Yi and Zhang; Guo-Song and Xu; Shu-Juan and Deng; Wei-An,Molecular strategies of the pygmy grasshopper Eucriotettix oculatus adapting to long-term heavy metal pollution,2024,Ecotoxicology and Environmental Safety,276,10.1016/j.ecoenv.2024.116301
43,de72,Eucriotettix oculatus,Orthoptera,body,shape,pollution,gene expression,transcriptomic,adaptation,Li; Xiao-Dong and Jiang; Guo-Fang and Li; Ran and Bai; Yi and Zhang; Guo-Song and Xu; Shu-Juan and Deng; Wei-An,Molecular strategies of the pygmy grasshopper Eucriotettix oculatus adapting to long-term heavy metal pollution,2024,Ecotoxicology and Environmental Safety,276,10.1016/j.ecoenv.2024.116301
43,de71,Eucriotettix oculatus,Orthoptera,wing,size,pollution,chromossome,chromossome,adaptation,Li; Xiao-Dong and Jiang; Guo-Fang and Li; Ran and Bai; Yi and Zhang; Guo-Song and Xu; Shu-Juan and Deng; Wei-An,Molecular strategies of the pygmy grasshopper Eucriotettix oculatus adapting to long-term heavy metal pollution,2024,Ecotoxicology and Environmental Safety,276,10.1016/j.ecoenv.2024.116301
237,de102,Rhopalomastix javana,Hymenoptera,body,shape,geography ,SNPs,genomic,adaptation,Wang; Wendy Y. and Yamada; Aiki,Scrutinising an inscrutable bark-nesting ant: Exploring cryptic diversity in the Rhopalomastix javana (Hymenoptera: Formicidae) complex using DNA barcodes; genome-wide MIG-seq and geometric morphometrics,2023,PeerJ,11,10.7717/peerj.16416
411,de33,Gerris buenoi,Hemiptera,bristle ,density,Water surface invasion,gene expression,transcriptomic,adaptation,Finet; Cédric and Decaras; Amélie and Rutkowska; Maria and Roux; Pascale and Collaudin; Samuel and Joncour; Pauline and Viala; Séverine and Khila; Abderrahman,Leg length and bristle density; both necessary for water surface locomotion; are genetically correlated in water striders,2022,Proceedings of the National Academy of Sciences of the United States of America,119,10.1073/pnas.2119210119
411,de35,Gerris buenoi,Hemiptera,bristle ,size,Water surface invasion,gene expression,transcriptomic,adaptation,Finet; Cédric and Decaras; Amélie and Rutkowska; Maria and Roux; Pascale and Collaudin; Samuel and Joncour; Pauline and Viala; Séverine and Khila; Abderrahman,Leg length and bristle density; both necessary for water surface locomotion; are genetically correlated in water striders,2022,Proceedings of the National Academy of Sciences of the United States of America,119,10.1073/pnas.2119210119
411,de36,Gerris buenoi,Hemiptera,bristle ,overall development,Water surface invasion,gene expression,transcriptomic,adaptation,Finet; Cédric and Decaras; Amélie and Rutkowska; Maria and Roux; Pascale and Collaudin; Samuel and Joncour; Pauline and Viala; Séverine and Khila; Abderrahman,Leg length and bristle density; both necessary for water surface locomotion; are genetically correlated in water striders,2022,Proceedings of the National Academy of Sciences of the United States of America,119,10.1073/pnas.2119210119
411,de34,Gerris buenoi,Hemiptera,leg,size,Water surface invasion,gene expression,transcriptomic,adaptation,Finet; Cédric and Decaras; Amélie and Rutkowska; Maria and Roux; Pascale and Collaudin; Samuel and Joncour; Pauline and Viala; Séverine and Khila; Abderrahman,Leg length and bristle density; both necessary for water surface locomotion; are genetically correlated in water striders,2022,Proceedings of the National Academy of Sciences of the United States of America,119,10.1073/pnas.2119210119
437,de216,Heliconius erato,Lepidoptera,wing,shape,geography ,SNPs,genomic,adaptation,Montejo-Kovacevich; Gabriela and Salazar; Patricio A. and Smith; Sophie H. and Gavilanes; Kimberly and Bacquet; Caroline N. and Chan; Yingguang Frank and Jiggins; Chris D. and Meier; Joana I. and Nadeau; Nicola J.,Genomics of altitude-associated wing shape in two tropical butterflies,2021,Molecular Ecology,30,10.1111/mec.16067
